series_mosb,series_short,isin,coupon,issue_date,maturity_date,watchlist,on_the_run
12/22/21,,PIBL0621F021,-,6/23/21,12/22/21,,
12/29/21,,PIBL0621F030,-,6/30/21,12/29/21,,
01/05/22,,PIBL1221A015,-,1/6/21,1/5/22,,
01/12/22,,PIBL1221A024,-,1/13/21,1/12/22,,
1054,,PIBD1022G545,6.375,7/19/11,1/19/22,,
01/19/22,,PIBL1221A033,-,1/20/21,1/19/22,,
5-74,574,PIBD0522A747,4,1/26/17,1/26/22,,
01/26/22,,PIBL1221A042,-,1/27/21,1/26/22,,
02/02/22,,PIBL1221B050,-,2/3/21,2/2/22,,
02/09/22,,PIBL1221B069,-,2/10/21,2/9/22,,
02/16/22,,PIBL1221B078,-,2/17/21,2/16/22,,
02/23/22,,PIBL1221B087,-,2/24/21,2/23/22,,
03/02/22,,PIBL1221C095,-,3/3/21,3/2/22,,
03/09/22,,PIBL1221C102,-,3/10/21,3/9/22,,
2002,,PIBD2022C021,15,3/14/02,3/14/22,,
03/16/22,,PIBL1221C111,-,3/17/21,3/16/22,,
03/23/22,,PIBL1221C120,-,3/24/21,3/23/22,,
03/30/22,,PIBL1221C139,-,3/31/21,3/30/22,,
04/06/22,,PIBL1221D147,-,4/7/21,4/6/22,,
04/13/22,,PIBL1221D156,-,4/14/21,4/13/22,,
04/20/22,,PIBL1221D165,-,4/21/21,4/20/22,,
04/27/22,,PIBL1221D174,-,4/28/21,4/27/22,,
05/04/22,,PIBL1221E182,-,5/5/21,5/4/22,,
05/11/22,,PIBL1221E191,-,5/12/21,5/11/22,,
05/18/22,,PIBL1221E208,-,5/19/21,5/18/22,,
05/25/22,,PIBL1221E217,-,5/26/21,5/25/22,,
06/01/22,,PIBL1221F225,-,6/2/21,6/1/22,,
06/08/22,,PIBL1221F234,-,6/9/21,6/8/22,,
06/15/22,,PIBL1221F243,-,6/16/21,6/15/22,,
06/22/22,,PIBL1221F252,-,6/23/21,6/22/22,,
06/29/22,,PIBL1221F261,-,6/30/21,6/29/22,,
3-24,324,PIBD0322G247,4.75,7/4/19,7/4/22,,
07/06/22,,PIBL1221G279,-,7/7/21,7/6/22,,
07/13/22,,PIBL1221G288,-,7/14/21,7/13/22,,
07/20/22,,PIBL1221G297,-,7/21/21,7/20/22,,
07/27/22,,PIBL1221G304,-,7/28/21,7/27/22,,
1056,,PIBD1022H562,4.875,8/2/12,8/2/22,,
08/03/22,,PIBL1221H312,-,8/4/21,8/3/22,,
08/10/22,,PIBL1221H321,-,8/11/21,8/10/22,,
08/17/22,,PIBL1221H330,-,8/18/21,8/17/22,,
08/24/22,,PIBL1221H349,-,8/25/21,8/24/22,,
08/31/22,,PIBL1221I357,-,9/1/21,8/31/22,,
09/07/22,,PIBL1221I366,-,9/8/21,9/7/22,,
1057,,PIBD1022I570,4.75,9/13/12,9/13/22,,
09/14/22,,PIBL1221I375,-,9/15/21,9/14/22,,
09/21/22,,PIBL1221I384,-,9/22/21,9/21/22,,
