isin,time,yield,vol
PIBL1221J427,3:57:41 PM,1.625,0.25
PIBL1221J427,3:55:12 PM,1.6025,4.04
PIBD0728D649,3:53:39 PM,4.325,65
PIBD1028C635,3:48:38 PM,4.575,10
PIBD1028C635,3:48:14 PM,4.65,10
PIBL1221D156,3:47:47 PM,1.3925,1.491
PIBL1221E217,3:45:06 PM,1.5,2.01
PIBL1221D165,3:44:45 PM,1.405,5.083
PIBD0526D772,3:43:56 PM,3.7315,5
PIBL1220K472,3:42:54 PM,1.05,5.003
PIBL1221A015,3:42:11 PM,1.13,1
PIBL1221E208,3:39:48 PM,1.501,13.1
PIBL1221A024,3:38:32 PM,1.2,1.099
PIBD2031G171,3:38:30 PM,4.875,7
PIBL1221J427,3:38:22 PM,1.605,9.1
PIID2537J015,3:38:15 PM,5.105,0.5
PIBL1221B050,3:35:27 PM,1.255,49
PIID0525H130,3:34:45 PM,3.2,0.01
PIBD0526D772,3:33:58 PM,3.75,0.7
PIID1026I057,3:33:55 PM,3.73,4.5
PIID0324C115,3:33:51 PM,2.575,0.005
PIBD0526D772,3:32:41 PM,3.765,5
PIBD0322G247,3:31:46 PM,1.65,8
PIID0525H130,3:31:38 PM,3.19,11
PIID0324C115,3:31:28 PM,2.48,2
PIBD0726B627,3:30:57 PM,3.56,1
PIID2537J015,3:30:49 PM,5.105,2.4
PIBL1221A033,3:30:07 PM,1.15,5
PIBD0524J762,3:30:05 PM,2.75,5.5
PIBD0728D649,3:28:44 PM,4.3575,50
PIBL1221A015,3:27:58 PM,1.085,33.052
PIBD0728D649,3:27:58 PM,4.365,50
PIBD2535I071,3:26:54 PM,5.1,6.8
PIBD0526D772,3:23:21 PM,3.73,1.4
PIBD0526D772,3:23:05 PM,3.73,4.374
PIBD0526D772,3:22:04 PM,3.75,40
PIID2537J015,3:21:21 PM,5.08,100
PIID2537J015,3:21:20 PM,5.075,100
PIBL1221D165,3:20:46 PM,1.3925,1
PIBL1221D165,3:20:35 PM,1.3925,1
PIBD1029A644,3:19:01 PM,4.7175,18.855
PIBD0728D649,3:18:05 PM,4.35,7
PIBL1221J418,3:16:58 PM,1.595,1
PIBD0728D649,3:16:38 PM,4.365,7
PIBL1220L499,3:16:05 PM,1.07,2.6
PIBL1221J427,3:16:00 PM,1.625,0.49
PIBL1221J427,3:15:58 PM,1.625,0.3
PIBL1221D165,3:14:44 PM,1.33,2.008
PIBL1221D165,3:11:41 PM,1.4,0.1
PIBL1221D165,3:11:39 PM,1.4,0.4
PIBL1221A033,3:10:58 PM,1.11,1.5
PIBL1221A033,3:10:57 PM,1.11,2.5
PIBD1030G655,3:10:52 PM,4.7,5.48
PIBL1220K472,3:09:50 PM,1.1,11.13
PIID1023H046,3:09:47 PM,2.5,0.65
PIBL1220K472,3:09:47 PM,1.1,0.135
PIBL1221A033,3:07:31 PM,1.11,2.8
PIBL1221J427,3:07:27 PM,1.6025,1.02
PIBL1221J427,3:06:55 PM,1.6025,1.06
PIBD1022L585,3:04:59 PM,2.175,2
PIBD0323I252,3:04:04 PM,2.35,3
PIBL1221D165,3:03:56 PM,1.3925,15
PIBL1221H330,3:03:10 PM,1.575,3.03
PIBL1221A033,3:01:05 PM,1.11,1
PIBL1221A015,3:00:20 PM,1.13,9.8
PIBL1221J427,2:56:32 PM,1.6025,1.01
PIID0323B101,2:55:11 PM,2.15,1
PIBL1221A015,2:55:10 PM,1.13,1.004
PIBD2540I116,2:53:49 PM,5.125,50
PIBL1221C095,2:51:57 PM,1.36,12
PIID1023H046,2:50:57 PM,2.45,1.5
PIBD0728D649,2:46:50 PM,4.36,50
PIBL1221A033,2:45:13 PM,1.11,2.8
PIBL1221A033,2:45:11 PM,1.11,13
PIBL1221D165,2:40:26 PM,1.3925,2.008
PIBD1031G662,2:39:10 PM,4.895,5
PIBL1221E208,2:38:48 PM,1.5,1.5
PIBD1031G662,2:37:56 PM,4.895,100
PIBL0621F021,2:36:57 PM,1.07,0.98
PIBL1221A015,2:36:56 PM,1.13,0.95
PIBL1221H330,2:35:32 PM,1.575,4
PIBL1221C111,2:31:00 PM,1.395,2
PIBD2031G171,2:30:56 PM,4.9,11.7
PIBL1221E182,2:30:55 PM,1.475,20.12
PIBL1221C111,2:30:15 PM,1.395,2
PIBL1221C102,2:29:25 PM,1.325,1
PIBL1221D165,2:29:23 PM,1.3925,130.13
PIBL1221J418,2:29:19 PM,1.485,0.1
PIBL1220K472,2:29:18 PM,1.1,0.6
PIBL1220K463,2:27:12 PM,1.06,15.024
PIBL1221A015,2:27:11 PM,1.15,6
PIBL1221D156,2:26:29 PM,1.3925,4
PIBL1221D156,2:26:27 PM,1.3925,4.5
PIBL1221E182,2:25:56 PM,1.435,4.023
PIBD2031G171,2:25:32 PM,4.9,1
PIBL1220K472,2:25:25 PM,1.065,30.02
PIBL1221C095,2:25:00 PM,1.36,1
PIBL1221J427,2:24:20 PM,1.6025,0.25
PIBL1221J418,2:24:04 PM,1.595,10
PIBD2031G171,2:23:48 PM,4.835,50
PIBL1221B078,2:23:22 PM,1.385,56
PIBD0728D649,2:22:18 PM,4.33,5
PIID1026I057,2:22:12 PM,3.88,2
PIID0525H130,2:22:04 PM,3.01,1
PIBL1221A033,2:21:42 PM,1.11,0.5
PIBD1031G662,2:21:14 PM,4.86,3
PIBD1025I608,2:19:28 PM,3.3,10
PIBL1221A033,2:18:57 PM,1.11,35
PIBL1221B069,2:18:39 PM,1.276,0.451
PIBL1221A033,2:17:37 PM,1.11,1
PIBL1221J418,2:17:28 PM,1.595,0.1
PIBL1221A024,2:16:35 PM,1.125,35
PIBL1221A015,2:16:25 PM,1.13,0.5
PIBL1221A015,2:14:50 PM,1.13,3.004
PIBL1221E217,2:14:48 PM,1.5,6.02
PIBD2031G171,2:14:29 PM,4.85,3.265
PIBD2540I116,2:12:45 PM,5.125,200
PIBL1221F261,2:11:25 PM,1.555,3.023
PIID0525H130,2:11:16 PM,3.13,1
PIBL1221C111,2:11:13 PM,1.395,40
PIBD0522A747,2:11:11 PM,1.45,0.9
PIBL1221A024,2:11:08 PM,1.125,1
PIID2032C014,2:10:03 PM,4.93,0.3
PIBD1031G662,2:08:26 PM,4.875,10
PIBL1221A015,2:08:16 PM,1.13,150
PIBL1221D165,2:07:21 PM,1.4,2
PIBL1221A015,2:07:14 PM,1.13,0.5
PIBD0726B627,2:06:49 PM,3.675,2
PIBD1025I608,2:06:26 PM,3.25,2
PIBL1221A033,2:05:28 PM,1.15,5
PIBL1221A015,2:03:25 PM,1.13,20.063
PIBL1221J418,11:58:44 AM,1.6025,0.9
PIBL1221J427,11:57:49 AM,1.6025,3.79
PIBL1221J427,11:57:24 AM,1.6025,0.51
PIBL1221J427,11:57:20 AM,1.6025,1.32
PIBL1221A015,11:57:19 AM,1.13,0.703
PIBL1221J427,11:57:06 AM,1.6,0.315
PIBL1221A015,11:57:03 AM,1.125,7
PIBL1221A015,11:57:00 AM,1.125,10
PIID0525H130,11:56:58 AM,3.15,50
PIBL1221D165,11:56:22 AM,1.3925,0.5
PIBL1221D165,11:56:04 AM,1.3925,2.07
PIBL1221D165,11:56:00 AM,1.3925,3.5
PIBD1022L585,11:55:43 AM,2.15,1
PIBL1221A033,11:54:52 AM,1.11,0.5
PIBL1221A033,11:54:45 AM,1.11,1.2
PIBL1221J427,11:54:43 AM,1.6,2
PIBL1221A033,11:54:41 AM,1.11,4
PIBD0723D588,11:54:30 AM,2.25,9.8
PIBL1221D165,11:54:15 AM,1.3925,4.9
PIID0522L114,11:54:11 AM,1.975,0.2
PIID0525H130,11:53:27 AM,3.13,55
PIBD1022G545,11:53:13 AM,1.2,2
PIID1023H046,11:53:04 AM,2.5,36
PIBL1221C102,11:52:00 AM,1.375,1
PIBL0621F021,11:48:31 AM,1.0775,4.1
PIBL0621F021,11:48:16 AM,1.0775,2
PIBL1221G279,11:46:55 AM,1.525,8.19
PIID0324C115,11:45:49 AM,2.475,71.143
PIBL1221A015,11:45:33 AM,1.125,1.642
PIBL1220K463,11:45:17 AM,1.06,35
PIBL0621F021,11:44:10 AM,1.08,50
PIBL1220K445,11:42:25 AM,1.06,22
PIBL1221A024,11:40:45 AM,1.1251,10
PIBL1221A033,11:40:44 AM,1.11,1
PIID2537J015,11:40:09 AM,5.025,4.52
PIBL1221A015,11:40:03 AM,1.13,15.025
PIBL1221D165,11:37:28 AM,1.41,500
