time,isin,yield,vol
3:55:52 PM,PIBL1221C095,1.385,200
3:54:42 PM,PIBL1221C102,1.39,600
3:54:29 PM,PIID0524C129,2.515,3.1
3:51:06 PM,PIID0525H130,3.105,5
3:50:47 PM,PIBL1220K472,1.05,7
3:44:59 PM,PIBD0728D649,4.1,50
3:44:58 PM,PIBD0728D649,4.1,50
3:43:20 PM,PIBL1221C111,1.39,200
3:43:16 PM,PIBD1031G662,4.7,50
3:43:00 PM,PIBD1031G662,4.7,50
3:42:20 PM,PIID0525H130,3.1,50
3:41:40 PM,PIBD0728D649,4.1,50
3:41:32 PM,PIBD1027E617,3.96,50
3:41:25 PM,PIBD0728D649,4.1,100
3:41:16 PM,PIID0525H130,3.05,1
3:40:50 PM,PIBD1027E617,3.96,50
3:40:13 PM,PIID0324C115,2.44,6
3:40:01 PM,PIID0525H130,3.1,150
3:39:52 PM,PIID0525H130,3.1,100
3:38:27 PM,PIBL1221J427,1.5,1
3:38:17 PM,PIBL1221F234,1.505,4.72
3:38:12 PM,PIBL1221A024,1.14,28
3:35:19 PM,PIBL1220L480,1.07,8.004
3:34:37 PM,PIBL1221A024,1.13,8.012
3:34:25 PM,PIBD1031G662,4.73,50
3:34:18 PM,PIBD1030G655,4.6,50
3:34:04 PM,PIBD1030G655,4.5,32
3:33:26 PM,PIBD0526D772,3.69,50
3:33:09 PM,PIBD0728D649,4.125,50
3:32:55 PM,PIBD0728D649,4.125,50
3:32:07 PM,PIBL1221J436,1.6,0.5
3:31:26 PM,PIBD1031G662,4.75,50
3:27:59 PM,PIBL1221F234,1.52,1
3:27:32 PM,PIBD0524J762,2.79,100
3:27:30 PM,PIBD1027E617,3.975,40
3:27:06 PM,PIBL1221J436,1.605,6.25
3:26:41 PM,PIBD0728D649,4.125,75
3:25:51 PM,PIBD0723D588,2.4,8.08
3:25:25 PM,PIBD0728D649,4.15,75
3:25:13 PM,PIBD0523C752,2.45,4
3:24:18 PM,PIBD0728H654,4.2,100
3:20:52 PM,PIBD2031G171,4.925,25.75
3:20:44 PM,PIBD1022L585,2.25,14.56
3:20:32 PM,PIBD1022H562,1.85,17.57
3:20:21 PM,PIID1026I057,3.9,8.25
3:20:07 PM,PIID2537J015,5.25,28.92
3:20:05 PM,PIBD1031G662,4.75,5
3:16:12 PM,PIBL1221E217,1.49,5.01
3:15:07 PM,PIID0524C129,2.6,0.05
3:12:53 PM,PIBL1221J427,1.605,1
3:07:35 PM,PIBL1221C120,1.4,1.5
3:07:16 PM,PIBL1220K472,1.06,48
3:06:30 PM,PIBL1221J436,1.615,3.03
3:06:01 PM,PIBL1221D174,1.385,0.4
3:05:59 PM,PIBL1221E182,1.435,3.016
3:05:55 PM,PIBD0526D772,3.68,25
3:05:19 PM,PIBD0526D772,3.68,75
3:02:57 PM,PIBL1221J427,1.605,32.5
3:02:27 PM,PIBL1221D174,1.385,4.03
3:02:21 PM,PIBL1221D174,1.385,9
